"SYMBOL","START_DATE","BREAK_START","BREAK_END"
"BANKNIFTY","2005-06-10",NA,NA
"CNXIT","2003-08-28",NA,NA
"MINIFTY","2008-01-01",NA,NA
"NFTYMCAP50","2007-10-04",NA,NA
"NIFTY","2001-01-01",NA,NA
"3IINFOTECH","2007-09-05","2009-06-26","2010-10-28"
"ABAN","2006-12-28",NA,NA
"ABB","2005-04-19",NA,NA
"ABGSHIP","2008-08-21","2009-05-04","2010-06-24"
"ABIRLANUVO","2007-05-11",NA,NA
"ACC","2001-11-09",NA,NA
"ADANIENT","2010-02-19",NA,NA
"ADANIPOWER","2010-07-30",NA,NA
"ALBK","2005-04-19",NA,NA
"ALOKTEXT","2005-05-27","2009-06-26","2010-10-28"
"AMBUJACEM","2007-07-24",NA,NA
"ANDHRABANK","2003-08-28",NA,NA
"APIL","2007-05-11",NA,NA
"APOLLOTYRE","2010-02-19",NA,NA
"AREVATANDD","2010-02-19",NA,NA
"ASHOKLEY","2005-04-19",NA,NA
"ASIANPAINT","2008-08-21",NA,NA
"AUROPHARMA","2005-05-11",NA,NA
"AXISBANK","2007-08-16",NA,NA
"BAJAJAUTO","2008-05-26",NA,NA
"BAJAJHIND","2006-12-28",NA,NA
"BAJAJHLDNG","2008-03-14","2009-07-31","2010-10-28"
"BALRAMCHIN","2006-12-28",NA,NA
"BANKBARODA","2003-08-28",NA,NA
"BANKINDIA","2003-08-28",NA,NA
"BATAINDIA","2006-12-28","2009-06-26","2010-10-28"
"BEL","2003-01-30",NA,NA
"BEML","2006-12-28",NA,NA
"BGRENERGY","2010-02-19",NA,NA
"BHARATFORG","2005-04-19",NA,NA
"BHARTIARTL","2006-06-19",NA,NA
"BHEL","2001-11-09",NA,NA
"BHUSANSTL","2007-09-05",NA,NA
"BIOCON","2007-09-05",NA,NA
"BOMDYEING","2006-12-28","2009-06-26","2010-10-28"
"BOSCHLTD","2008-02-28",NA,NA
"BPCL","2001-11-09",NA,NA
"BRFL","2007-05-11",NA,NA
"CAIRN","2007-01-08",NA,NA
"CANBK","2003-08-28",NA,NA
"CENTRALBK","2007-08-20","2009-06-26","2010-10-28"
"CENTURYTEX","2005-04-19",NA,NA
"CESC","2005-05-11",NA,NA
"CHAMBLFERT","2005-05-11",NA,NA
"CHENNPETRO","2005-04-19","2006-10-27","2007-01-25"
"CIPLA","2001-11-09",NA,NA
"COLPAL","2007-12-17",NA,NA
"CONCOR","2008-08-21",NA,NA
"COREPROTEC","2008-08-21","2009-03-30","2010-06-24"
"CROMPGREAV","2006-12-28",NA,NA
"CUMMINSIND","2005-06-17",NA,NA
"DABUR","2005-04-19",NA,NA
"DCB","2007-11-30","2009-06-26","2010-10-28"
"DCHL","2008-08-21",NA,NA
"DENABANK","2007-05-11",NA,NA
"DISHTV","2008-08-21",NA,NA
"DIVISLAB","2005-05-11",NA,NA
"DLF","2007-07-04",NA,NA
"DRREDDY","2001-11-09",NA,NA
"EDUCOMP","2007-05-11",NA,NA
"EKC","2007-05-11",NA,NA
"ESCORTS","2005-05-27","2009-06-26","2010-10-28"
"ESSAROIL","2005-05-11",NA,NA
"EXIDEIND","2010-05-28",NA,NA
"FEDERALBNK","2005-05-11",NA,NA
"FINANTECH","2007-05-11",NA,NA
"FORTIS","2010-02-19",NA,NA
"FSL","2008-08-21",NA,NA
"GAIL","2003-09-25",NA,NA
"GESHIP","2006-11-24",NA,NA
"GLAXO","2005-04-19",NA,NA
"GMDCLTD","2010-05-28",NA,NA
"GMRINFRA","2006-08-21",NA,NA
"GODREJIND","2010-02-19",NA,NA
"GRASIM","2001-11-09",NA,NA
"GSPL","2008-08-21",NA,NA
"GTL","2006-12-28",NA,NA
"GTLINFRA","2008-08-21",NA,NA
"GTOFFSHORE","2007-11-30",NA,NA
"GVKPIL","2008-08-21",NA,NA
"HAVELLS","2007-09-05","2009-06-26","2010-10-28"
"HCC","2006-12-28",NA,NA
"HCLTECH","2003-01-30",NA,NA
"HDFC","2001-11-09",NA,NA
"HDFCBANK","2003-08-28",NA,NA
"HDIL","2007-07-24",NA,NA
"HEROHONDA","2003-01-30",NA,NA
"HEXAWARE","2010-05-28",NA,NA
"HINDALCO","2007-08-27",NA,NA
"HINDOILEXP","2007-11-30","2009-06-26","2010-10-28"
"HINDPETRO","2001-11-09",NA,NA
"HINDUNILVR","2007-07-19",NA,NA
"HINDZINC","2007-11-30",NA,NA
"HOTELEELA","2007-05-11",NA,NA
"IBREALEST","2008-08-21",NA,NA
"ICICIBANK","2003-01-30",NA,NA
"IDBI","2005-04-19",NA,NA
"IDEA","2007-03-08",NA,NA
"IDFC","2005-08-11",NA,NA
"IFCI","2005-05-27",NA,NA
"IGL","2010-10-29",NA,NA
"INDHOTEL","2005-04-19",NA,NA
"INDIACEM","2005-05-27",NA,NA
"INDIAINFO","2007-05-11",NA,NA
"INDIANB","2007-02-28",NA,NA
"INDUSINDBK","2005-05-11","2009-07-31","2010-10-28"
"INFOSYSTCH","2001-11-09",NA,NA
"IOB","2005-04-19",NA,NA
"IOC","2003-09-25",NA,NA
"IRB","2008-02-25","2009-06-26","2010-10-28"
"ISPATIND","2007-11-30",NA,NA
"ITC","2001-11-09",NA,NA
"IVRCLINFRA","2005-05-27",NA,NA
"JETAIRWAYS","2005-03-11","2009-06-26","2010-10-28"
"JINDALSAW","2007-11-30",NA,NA
"JINDALSTEL","2005-04-19",NA,NA
"JINDALSWHL","2010-05-28",NA,NA
"JISLJALEQS","2010-02-19",NA,NA
"JPASSOCIAT","2006-12-28",NA,NA
"JPPOWER","2010-01-08",NA,NA
"JSWSTEEL","2006-12-28",NA,NA
"KFA","2008-10-06",NA,NA
"KOTAKBANK","2006-12-28",NA,NA
"KSOILS","2008-08-21",NA,NA
"KTKBANK","2005-05-27","2009-06-26","2010-10-28"
"LICHSGFIN","2005-04-19",NA,NA
"LITL","2006-11-24",NA,NA
"LT","2006-09-14",NA,NA
"LUPIN","2006-12-28",NA,NA
"MANDM","2001-11-09",NA,NA
"MARUTI","2003-07-09",NA,NA
"MAX","2010-10-29",NA,NA
"MCDOWELLN","2006-12-28",NA,NA
"MCLEODRUSS","2010-02-19",NA,NA
"MLL","2008-08-21",NA,NA
"MOSERBAER","2007-05-11",NA,NA
"MPHASIS","2006-12-26",NA,NA
"MRF","2008-08-21","2009-06-26","2010-10-28"
"MRPL","2005-04-19",NA,NA
"MTNL","2001-11-09",NA,NA
"MUNDRAPORT","2010-02-19",NA,NA
"NAGARFERT","2005-05-27",NA,NA
"NATIONALUM","2003-01-30",NA,NA
"NCC","2011-03-15",NA,NA
"NEYVELILIG","2005-04-19",NA,NA
"NHPC","2010-07-30",NA,NA
"NMDC","2010-10-01",NA,NA
"NTPC","2004-11-04",NA,NA
"OFSS","2008-09-18",NA,NA
"OIL","2010-10-29",NA,NA
"ONGC","2003-01-30",NA,NA
"ONMOBILE","2010-02-19",NA,NA
"OPTOCIRCUI","2008-08-21",NA,NA
"ORBITCORP","2008-08-21","2009-03-30","2010-06-24"
"ORCHIDCHEM","2005-05-11",NA,NA
"ORIENTBANK","2003-08-28",NA,NA
"PANTALOONR","2007-05-11",NA,NA
"PATELENG","2007-05-11",NA,NA
"PATNI","2005-04-19",NA,NA
"PETRONET","2007-05-11",NA,NA
"PFC","2007-02-22",NA,NA
"PIRHEALTH","2008-06-19",NA,NA
"PNB","2003-08-28",NA,NA
"POLARIS","2003-01-30",NA,NA
"POWERGRID","2007-10-04",NA,NA
"PRAJIND","2006-12-28",NA,NA
"PTC","2008-08-21",NA,NA
"PUNJLLOYD","2006-01-05",NA,NA
"RANBAXY","2001-11-09",NA,NA
"RAYMOND","2011-04-29",NA,NA
"RCOM","2006-09-14",NA,NA
"RECLTD","2008-03-12",NA,NA
"RELCAPITAL","2005-04-19",NA,NA
"RELIANCE","2001-11-09",NA,NA
"RELINFRA","2008-05-16",NA,NA
"RELMEDIA","2009-10-20",NA,NA
"RENUKA","2006-12-28",NA,NA
"ROLTA","2007-05-11",NA,NA
"RPOWER","2008-02-11",NA,NA
"RUCHISOYA","2010-05-28",NA,NA
"SAIL","2006-09-14",NA,NA
"SBIN","2001-11-09",NA,NA
"SCI","2003-01-30",NA,NA
"SESAGOA","2006-12-29",NA,NA
"SIEMENS","2005-04-19",NA,NA
"SINTEX","2008-08-21",NA,NA
"SKUMARSYNF","2007-05-11","2009-06-26","2010-10-28"
"SOBHA","2006-12-19","2009-02-27","2010-05-27"
"SREINFRA","2010-10-29",NA,NA
"SRTRANSFIN","2010-07-30",NA,NA
"STER","2005-04-19",NA,NA
"STRTECH","2007-12-17","2009-03-30","2010-10-28"
"SUNPHARMA","2005-04-19",NA,NA
"SUNTV","2006-04-24",NA,NA
"SUZLON","2005-10-18",NA,NA
"SYNDIBANK","2003-09-25",NA,NA
"TATACHEM","2005-04-19",NA,NA
"TATACOMM","2008-02-25",NA,NA
"TATAGLOBAL","2010-07-21",NA,NA
"TATAMOTORS","2003-12-26",NA,NA
"TATAMTRDVR","2010-10-29",NA,NA
"TATAPOWER","2001-11-09",NA,NA
"TATASTEEL","2005-10-17",NA,NA
"TCS","2004-08-24",NA,NA
"TECHM","2007-09-05",NA,NA
"TITAN","2005-05-11",NA,NA
"TRIVENI","2006-12-28",NA,NA
"TTML","2006-12-28",NA,NA
"TULIP","2007-09-05",NA,NA
"TV18","2008-08-21",NA,NA
"TVSMOTOR","2005-05-11","2009-06-26","2010-10-28"
"UCOBANK","2008-08-21",NA,NA
"ULTRACEMCO","2006-12-28",NA,NA
"UNIONBANK","2003-08-28",NA,NA
"UNIPHOS","2007-05-11",NA,NA
"UNITECH","2007-05-11",NA,NA
"VIDEOIND","2010-02-19",NA,NA
"VIJAYABANK","2005-04-19",NA,NA
"VOLTAS","2006-12-28",NA,NA
"WELCORP","2010-05-17",NA,NA
"WIPRO","2003-01-30",NA,NA
"YESBANK","2007-09-05",NA,NA
"ZEEL","2007-02-28",NA,NA
