"","SYMBOL","EX_DATE","NEW_POS","EXIST","BONUS"
"1","3IINFOTECH","27/08/2007",2,"1","1"
"2","ADANIENT","10/12/2009",2,"1","1"
"3","BAJAJAUTO","08/09/2010",2,"1","1"
"4","BHEL","31/05/2007",2,"1","1"
"5","BIOCON","11/09/2008",2,"1","1"
"6","CIPLA","24/04/2006",5,"3","2"
"7","CONCOR","16/04/2008",2,"1","1"
"8","CROMPGREAV","14/12/2006",7,"2","5"
"9","CROMPGREAV","08/03/2010",7,"3","4"
"10","DABUR","25/01/2007",3,"1","2"
"11","DABUR","08/09/2010",2,"1","1"
"12","DIVISLAB","30/07/2009",2,"1","1"
"13","DRREDDY","28/08/2006",2,"1","1"
"14","DRREDDY","17/03/2011",7,"6","1"
"15","GAIL","06/10/2008",3,"1","2"
"16","GMDCLTD","16/10/2008",2,"1","1"
"17","HAVELLS","20/07/2006",2,"1","1"
"18","HAVELLS","08/10/2010",2,"1","1"
"19","HCC","10/08/2010",2,"1","1"
"20","HCLTECH","15/03/2007",2,"1","1"
"21","HDIL","21/08/2008",9,"2","7"
"22","HEXAWARE","24/02/2011",2,"1","1"
"23","HINDZINC","07/03/2011",2,"1","1"
"24","IOC","29/10/2009",2,"1","1"
"25","ITC","03/08/2010",2,"1","1"
"26","IVRCLINFRA","18/03/2010",2,"1","1"
"27","JPASSOCIAT","17/12/2009",3,"1","2"
"28","LT","28/09/2006",2,"1","1"
"29","LT","01/10/2008",2,"1","1"
"30","LUPIN","11/08/2006",2,"1","1"
"31","MOSERBAER","17/07/2007",3,"1","2"
"32","NATIONALUM","15/03/2011",2,"1","1"
"33","NCC","20/09/2006",2,"1","1"
"34","NMDC","21/05/2008",3,"2","1"
"35","ONGC","08/02/2011",2,"1","1"
"36","ONGC","27/10/2006",3,"1","2"
"37","ONMOBILE","03/05/2011",2,"1","1"
"38","OPTOCIRCUI","30/10/2006",2,"1","1"
"39","OPTOCIRCUI","25/10/2007",3,"1","2"
"40","OPTOCIRCUI","03/11/2008",17,"7","10"
"41","ORBITCORP","29/06/2010",2,"1","1"
"42","PRAJIND","18/07/2007",2,"1","1"
"43","RELIANCE","26/11/2009",2,"1","1"
"44","RENUKA","15/03/2010",2,"1","1"
"45","ROLTA","24/01/2008",2,"1","1"
"46","RPOWER","30/05/2008",8,"3","5"
"47","SCI","29/10/2008",3,"1","2"
"48","SIEMENS","29/02/2008",2,"1","1"
"49","SREINFRA","10/02/2011",9,"4","5"
"50","STER","21/06/2010",2,"1","1"
"51","TCS","16/06/2009",2,"1","1"
"52","TCS","28/07/2006",2,"1","1"
"53","TITAN","23/06/2011",2,"1","1"
"54","TVAND18","17/10/2007",2,"1","1"
"55","TVSMOTOR","08/09/2010",2,"1","1"
"56","UNIPHOS","29/10/2008",2,"1","1"
"57","UNITECH","30/08/2007",2,"1","1"
"58","WIPRO","15/06/2010",5,"2","3"
"59","ZEEL","11/11/2010",2,"1","1"
