"","SYMBOL","EX_DATE","RATIO"
"1","ABB","28/06/2007",5
"2","APOLLOTYRE","17/08/2007",10
"3","AREVATANDD","22/10/2008",5
"4","AUROPHARMA","10/02/2011",5
"5","BHUSANSTL","21/09/2010",5
"6","CROMPGREAV","10/08/2006",5
"7","DCHL","13/03/2007",5
"8","DIVISLAB","03/08/2007",5
"9","EDUCOMP","27/10/2009",5
"10","EKC","21/08/2007",5
"11","EXIDEIND","08/09/2006",10
"12","GMDCLTD","08/11/2007",5
"13","GMRINFRA","28/09/2007",5
"14","GMRINFRA","01/10/2009",2
"15","GODREJIND","25/08/2006",6
"16","GVKPIL","08/02/2008",10
"17","HDFC","18/08/2010",5
"18","HINDZINC","07/03/2011",5
"19","HOTELEELA","08/09/2006",5
"20","INDHOTEL","27/10/2006",10
"21","INDIAINFO","08/08/2008",5
"22","JINDALSAW","10/12/2009",5
"23","JINDALSTEL","21/01/2008",5
"24","JISLJALEQS","29/10/2010",5
"25","JPASSOCIAT","17/12/2007",5
"26","KOTAKBANK","13/09/2010",2
"27","KSOILS","18/07/2007",10
"28","LICHSGFIN","30/12/2010",5
"29","LITL","04/01/2010",10
"30","LUPIN","27/08/2010",5
"31","MANDM","29/03/2010",2
"32","MAX","12/03/2007",5
"33","MUNDRAPORT","23/09/2010",5
"34","NATIONALUM","15/03/2011",2
"35","NMDC","10/04/2008",10
"36","ONGC","08/02/2011",2
"37","PANTALOONR","12/12/2006",5
"38","PUNJLLOYD","29/03/2007",5
"39","RENUKA","10/04/2008",10
"40","RUCHISOYA","29/10/2007",5
"41","SIEMENS","13/06/2006",5
"42","SINTEX","27/10/2010",2
"43","STER","21/06/2010",2
"44","SUNPHARMA","25/11/2010",5
"45","SUZLON","21/01/2008",5
"46","TATAGLOBAL","30/06/2010",10
"47","TITAN","23/06/2011",10
"48","TULIP","06/07/2010",5
"49","VOLTAS","22/09/2006",10
