"","X","SYMBOL","RATIO","EX_DATE"
"1",1,"ABB",5,"2007-06-28"
"2",2,"APOLLOTYRE",10,"2007-08-17"
"3",3,"AREVATANDD",5,"2008-10-22"
"4",4,"AUROPHARMA",5,"2011-02-10"
"5",5,"BHUSANSTL",5,"2010-09-21"
"6",6,"CROMPGREAV",5,"2006-08-10"
"7",7,"DCHL",5,"2007-03-13"
"8",8,"DIVISLAB",5,"2007-08-03"
"9",9,"EDUCOMP",5,"2009-10-27"
"10",10,"EKC",5,"2007-08-21"
"11",11,"EXIDEIND",10,"2006-09-08"
"12",12,"GMDCLTD",5,"2007-11-08"
"13",13,"GMRINFRA",5,"2007-09-28"
"14",14,"GMRINFRA",2,"2009-10-01"
"15",15,"GODREJIND",6,"2006-08-25"
"16",16,"GVKPIL",10,"2008-02-08"
"17",17,"HDFC",5,"2010-08-18"
"18",18,"HINDZINC",5,"2011-03-07"
"19",19,"HOTELEELA",5,"2006-09-08"
"20",20,"INDHOTEL",10,"2006-10-27"
"21",21,"INDIAINFO",5,"2008-08-08"
"22",22,"JINDALSAW",5,"2009-12-10"
"23",23,"JINDALSTEL",5,"2008-01-21"
"24",24,"JISLJALEQS",5,"2010-10-29"
"25",25,"JPASSOCIAT",5,"2007-12-17"
"26",26,"KOTAKBANK",2,"2010-09-13"
"27",27,"KSOILS",10,"2007-07-18"
"28",28,"LICHSGFIN",5,"2010-12-30"
"29",29,"LITL",10,"2010-01-04"
"30",30,"LUPIN",5,"2010-08-27"
"31",31,"MANDM",2,"2010-03-29"
"32",32,"MAX",5,"2007-03-12"
"33",33,"MUNDRAPORT",5,"2010-09-23"
"34",34,"NATIONALUM",2,"2011-03-15"
"35",35,"NMDC",10,"2008-04-10"
"36",36,"ONGC",2,"2011-02-08"
"37",37,"PANTALOONR",5,"2006-12-12"
"38",38,"PUNJLLOYD",5,"2007-03-29"
"39",39,"RENUKA",10,"2008-04-10"
"40",40,"RUCHISOYA",5,"2007-10-29"
"41",41,"SIEMENS",5,"2006-06-13"
"42",42,"SINTEX",2,"2010-10-27"
"43",43,"STER",2,"2010-06-21"
"44",44,"SUNPHARMA",5,"2010-11-25"
"45",45,"SUZLON",5,"2008-01-21"
"46",46,"TATAGLOBAL",10,"2010-06-30"
"47",47,"TITAN",10,"2011-06-23"
"48",48,"TULIP",5,"2010-07-06"
"49",49,"VOLTAS",10,"2006-09-22"
